127.0.0.1 - - [20/Nov/2019:21:13:14 +0900] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [20/Nov/2019:21:13:16 +0900] "GET /biz/insertBoard.jsp HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Nov/2019:21:13:58 +0900] "GET /biz/insertBoard.jsp HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Nov/2019:21:14:07 +0900] "POST /biz/insertBoard.do HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [20/Nov/2019:21:16:17 +0900] "POST /biz/insertBoard.do HTTP/1.1" 500 9882
0:0:0:0:0:0:0:1 - - [20/Nov/2019:21:16:26 +0900] "GET /biz/insertBoard HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [20/Nov/2019:21:16:28 +0900] "POST /biz/insertBoard.do HTTP/1.1" 500 9882
0:0:0:0:0:0:0:1 - - [20/Nov/2019:21:16:30 +0900] "GET /biz/insertBoard.jsp HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Nov/2019:21:16:33 +0900] "POST /biz/insertBoard.do HTTP/1.1" 500 9882
0:0:0:0:0:0:0:1 - - [20/Nov/2019:21:18:15 +0900] "GET /biz/insertBoard.jsp HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [20/Nov/2019:21:18:20 +0900] "POST /biz/insertBoard.do HTTP/1.1" 200 1117
